BYS4A,BYS7A,BYS8A,BYS8C,BYS14,BYS21,BYS66A,BYS66D,BYS74,BYS81A,BYS81B,BYS81C,BYIEPFLG,SEX,RACE,BYFAMINC,BY2XRSTD,BY2XMSTD,BY2XSSTD,BY2XHSTD,F1DOSTAT,G8CTRL1,F12XRSTD,F12XMSTD,F12XSSTD,F12XHSTD,G10CTRL1,F2S44B,F2DOSTAT,F22XRSTD,F22XMSTD,F22XSSTD,F22XHSTD,BYSC12,BYSC13E,BYSC16B,BYSC16C,BYSC16E,BYSC16F,BYSC47G,BYRATIO,F1C30A,F1C93F,BYP30,BYP38B,BYP40,BYP41,BYP59A,BYP59D,HSSTAT,PPOSTEX1,NUMCHILD,F4HSTYPE,F4HHDG
1,1,1,1,1,2,2,2,1,3,2,4,0,1,4,10,55.96,50.27,55.57,54.58,0,2,60.57,48.34,50.28,68.99,1,4,0,61.41,49.77,52.49,56.99,100,10,0,0,0,0,5,21,2,4,6,1,1,2,2,1,1,2,0,1,1
1,1,1,1,1,2,2,2,1,2,2,1,0,1,4,10,63.1,51.52,53.23,68.48,0,2,58.23,57.49,59.44,66.81,1,3,0,58.34,59.84,62.17,64.63,100,10,0,0,0,0,5,21,2,4,10,1,1,2,2,1,1,1,0,1,1
1,1,1,1,1,2,1,2,1,2,1,1,0,2,4,10,60.99,47.56,54.83,59.21,0,2,59.54,58.73,50.87,49.71,1,3,0,59.33,50.38,53.58,57.33,100,10,0,0,0,0,5,21,2,4,8,1,0,2,2,1,1,1,0,1,4
1,1,1,1,1,1,2,2,1,2,3,2,0,2,4,10,45.34,46.6,42.58,46.97,0,2,44.19,51.13,51.2,45.44,1,1,0,49.59,45.03,43.49,39.64,100,10,0,0,0,0,5,21,2,4,4,2,0,2,2,1,1,2,0,1,3
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,55.93,60.22,45.68,63.58,0,2,61.38,58.61,48.89,56.19,1,3,0,57.62,54.26,52.3,62.07,100,10,0,0,0,0,5,21,2,4,4,1,0,2,2,1,1,1,0,1,4
1,1,1,1,1,2,2,1,1,2,1,2,0,2,4,12,58.91,55.04,37.42,53.29,0,2,55.25,56.78,42.49,49.93,1,3,0,52.53,56.73,46.11,47.18,100,10,0,0,0,0,5,21,2,4,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,50.73,50.34,50.35,50.62,0,1,51.475,51.53,50.48,50.23,1,4,0,52.46,51.76,51.225,51.08,96,9,7,4,0,6,4,17,2,4,4,1,0,2,2,2,1,2,0,1,1
1,2,1,1,1,1,2,2,1,1,2,1,0,2,4,7,66.85,58.63,64.3,73.26,0,2,50.17,64.36,57.32,61.38,1,2,0,60.12,55.37,58.99,61.08,100,10,0,0,0,0,5,21,2,4,8,1,0,2,2,1,1,1,0,1,4
1,1,1,1,2,2,1,1,1,2,1,2,0,1,4,10,58.58,59.85,60.11,70.35,0,2,61.57,60.23,65.08,72.89,1,3,0,64.69,65.07,65.25,63.7,100,10,0,0,0,0,5,21,2,4,8,1,0,2,2,1,1,1,0,1,4
1,1,1,1,1,2,2,2,1,2,2,3,0,1,4,10,54.65,47.92,43.27,54.77,0,2,45.27,44.36,42.37,43.81,1,3,0,48.19,47.97,41.63,45.71,100,10,0,0,0,0,5,21,2,4,11,1,0,2,2,2,1,2,0,1,4
1,1,1,1,1,2,1,1,1,2,2,3,0,1,4,10,49.46,49.65,46.76,47.86,0,2,44,47.08,52.88,47.02,1,3,0,42.09,53.98,54.26,45.21,100,10,0,0,0,0,5,21,2,4,9,2,0,2,2,1,1,1,0,1,1
1,2,2,1,2,2,2,1,1,2,1,2,0,1,4,8,64.89,64.36,54.18,69.75,0,2,60.89,61.64,60.23,61.91,1,3,0,60.23,62.72,60.21,60.76,100,10,0,0,0,0,5,21,2,4,8,1,0,2,2,2,1,1,0,1,1
1,1,1,1,1,2,2,1,1,2,1,4,0,2,4,11,41.53,47.39,39.32,40.89,0,2,46.31,50.88,52.13,49.55,1,3,0,34.87,54.25,49.28,42.23,100,10,0,0,0,0,5,21,1,4,4,1,0,2,2,2,1,1,0,1,4
